STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2021,,46.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2015,,16.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2016,,17.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2017,,17.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2018,,16.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2019,,16.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2020,,16.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2021,,17.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2022,,17.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2023,,17.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2015,,21.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2016,,22.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2017,,22.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2018,,20.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2019,,20.0,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2020,,20.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2021,,18.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2022,,18.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2023,,18.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BE,Belgium,2024,,18.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2015,,43.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2016,,41.0,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2017,,38.0,,,,,
