STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,statinfo,Statistical information,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2014,,27.6,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2015,,27.2,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2016,,27.2,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2017,,27.9,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2018,,26.8,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2019,,27.5,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2020,,27.0,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2021,,26.7,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2022,,27.8,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),AT,Austria,2023,,28.1,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),BE,Belgium,2014,,25.9,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),BE,Belgium,2015,,26.2,,,,,
